id,name,status,source_type,document_count,processed_docs,total_docs,dms_source_path,storage_path,created_at
5000e579-562b-4214-af4a-1dd6dc8654d0,Client Documents — 11.17.25 — Del Rio -Santander statements,review_ready,client_documents,0,29,29,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/Del Rio -Santander statements,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—_Del_Rio_-Santander_statements,2026-06-14 01:05:12.640318+00:00
4f320dce-9eb4-4e1b-bb3a-a6888b42a738,Client Documents — 11.17.25 — Bank Statements,review_ready,client_documents,0,26,26,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/Bank Statements,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—_Bank_Statements,2026-06-14 01:05:12.640318+00:00
61ee6664-930b-47ac-b550-321ce7ee77aa,Client Documents — 11.17.25 — Agrifoods -COMPLEMENTOS DE PAGO,review_ready,client_documents,0,734,734,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/Agrifoods -COMPLEMENTOS DE PAGO,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—_Agrifoods_-COMPLEMENTOS_DE_PAGO,2026-06-14 01:05:12.640318+00:00
231cef3f-a5ce-4a69-88bf-fffd15ada53e,Client Documents — 11.17.25 — _Integrated Foods BOA,review_ready,client_documents,0,77,77,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/_Integrated Foods BOA,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—__Integrated_Foods_BOA,2026-06-14 01:05:12.640318+00:00
511f5fae-18ce-457b-9a7a-02247dbb2c9d,Client Documents — 11.17.25 — _Alliance Cold BOA,review_ready,client_documents,0,26,26,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/_Alliance Cold BOA,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—__Alliance_Cold_BOA,2026-06-14 01:05:12.640318+00:00
8fb99e19-b122-4d3f-bf80-fca64627819f,Client Documents — 11.17.25 — _AIM Bank Statements,review_ready,client_documents,0,206,206,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/_AIM Bank Statements,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—__AIM_Bank_Statements,2026-06-14 01:05:12.640318+00:00
cdb602b3-aa2f-444d-878a-64ec7db0cc10,Client Documents — 11.17.25 — _Agrifoods -MONEX,review_ready,client_documents,0,82,82,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/_Agrifoods -MONEX,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—__Agrifoods_-MONEX,2026-06-14 01:05:12.640318+00:00
cee6cd5a-a12c-4117-84b3-f661ab30ba8e,Client Documents — 11.17.25 — VIVA FOODS 2018,review_ready,client_documents,0,7,7,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/VIVA FOODS 2018,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—_VIVA_FOODS_2018,2026-06-14 01:05:12.640318+00:00
41a03efe-6679-4f68-be7e-92ceab8cfce1,Client Documents — 11.17.25 — _Agrifoods - BNMX,review_ready,client_documents,0,163,163,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/_Agrifoods - BNMX,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—__Agrifoods_-_BNMX,2026-06-14 01:05:12.640318+00:00
6be9c7d9-e772-46ae-b437-7c47ee12f9ae,Client Documents — 11.17.25 — _2025 dennis files,review_ready,client_documents,0,222,222,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/_2025 dennis files,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—__2025_dennis_files,2026-06-14 01:05:12.640318+00:00
64dfd2c2-17c2-49d3-bdc4-6d58eb1134b3,Client Documents — 11.17.25 — 2018-2019,review_ready,client_documents,0,282,282,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/2018-2019,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—_2018-2019,2026-06-14 01:05:12.640318+00:00
3d2c0467-ed8c-4e2f-9e2b-abb004e94cde,Client Documents — 11.17.25 — _Bank Statements,review_ready,client_documents,0,1665,1665,/mnt/legacy/Clients/Rhod Williams/Marcus Foods 493-02707-2024/Client Documents/11.17.25/_Bank Statements.zip,/mnt/ediscovery/986c0fee-1390-43bb-ad28-8cd1db6de53f/d389d889-4fe9-41c9-b74e-622d93d244f8/Client_Documents_—_11.17.25_—__Bank_Statements,2026-06-14 01:05:12.640318+00:00
